
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CAP0805_10UF_16V_X5R             C243                             558   1      1   1   1 1           1 0 5P0V                (293-54-13)
CAP0805_10UF_16V_X5R             C243                             558   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0805_10UF_16V_X5R             C244                             552   1      1   1   1 1           1 0 SYS_5P0V            (76-235-13)
CAP0805_10UF_16V_X5R             C244                             552   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0805_10UF_16V_X5R             C245                             554   1      1   1   1 1           1 0 FB22                (1814-1-13)
CAP0805_10UF_16V_X5R             C245                             554   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0805_10UF_16V_X5R             C246                             553   1      1   1   1 1           1 0 SYS_5P0V            (76-235-13)
CAP0805_10UF_16V_X5R             C246                             553   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0805_10UF_16V_X5R             C247                             549   1      1   1   1 1           1 0 U19_L2              (293-63-13)
CAP0805_10UF_16V_X5R             C247                             549   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0805_10UF_16V_X5R             C248                             555   1      1   1   1 1           1 0 FB12                (293-50-13)
CAP0805_10UF_16V_X5R             C248                             555   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0805_10UF_16V_X5R             C249                             556   1      1   1   1 1           1 0 VOLD022             (1814-6-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CAP0805_10UF_16V_X5R             C249                             556   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0805_10UF_16V_X5R             C250                             557   1      1   1   1 1           1 0 VOLD012             (1814-5-13)
CAP0805_10UF_16V_X5R             C250                             557   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0805_6800PF_X7R               C251                             565   1      1   1   1 1           1 0 5P0V_IN             (293-66-13)
CAP0805_6800PF_X7R               C251                             565   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0805_6800PF_X7R               C252                             566   1      1   1   1 1           1 0 5P0V_IN             (293-66-13)
CAP0805_6800PF_X7R               C252                             566   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C43                              116   1      1   1   1 1           1 0 3P3V                (76-222-13)
CAP1210_100UF_X5R_LOESR          C43                              116   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C44                              119   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP1210_100UF_X5R_LOESR          C44                              119   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C45                              118   1      1   1   1 1           1 0 P0_VBUS             (293-28-13)
CAP1210_100UF_X5R_LOESR          C45                              118   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C46                              117   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP1210_100UF_X5R_LOESR          C46                              117   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C47                              114   1      1   1   1 1           1 0 3P3V                (76-222-13)
CAP1210_100UF_X5R_LOESR          C47                              114   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C48                              129   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP1210_100UF_X5R_LOESR          C48                              129   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C49                              130   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP1210_100UF_X5R_LOESR          C49                              130   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C50                              115   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP1210_100UF_X5R_LOESR          C50                              115   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C51                              121   1      1   1   1 1           1 0 2P5V                (7-127-13)
CAP1210_100UF_X5R_LOESR          C51                              121   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C52                              122   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP1210_100UF_X5R_LOESR          C52                              122   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C53                              123   1      1   1   1 1           1 0 1P0V                (50-26-13)
CAP1210_100UF_X5R_LOESR          C53                              123   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C54                              124   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP1210_100UF_X5R_LOESR          C54                              124   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C55                              125   1      1   1   1 1           1 0 1P0V                (50-26-13)
CAP1210_100UF_X5R_LOESR          C55                              125   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C56                              120   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP1210_100UF_X5R_LOESR          C56                              120   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C57                              126   1      1   1   1 1           1 0 1P0V                (50-26-13)
CAP1210_100UF_X5R_LOESR          C57                              126   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C58                              127   1      1   1   1 1           1 0 1P0V                (50-26-13)
CAP1210_100UF_X5R_LOESR          C58                              127   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP1210_100UF_X5R_LOESR          C59                              128   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP1210_100UF_X5R_LOESR          C59                              128   1      2   2   1 2           2 0 GND                 (3-11-13)
CONN_MICROSD_CARD                J6                               523   1      1   1   1 7          13 0 SD_DAT0             (261-37-13)
CONN_MICROSD_CARD                J6                               523   1      2   2   1 8          14 0 SD_DAT1             (261-39-13)
CONN_MICROSD_CARD                J6                               523   1      3   3   1 1           7 0 SD_DAT2             (261-38-13)
CONN_MICROSD_CARD                J6                               523   1      4   4   1 2           8 0 SD_DAT3             (261-31-13)
CONN_MICROSD_CARD                J6                               523   1      5   5   1 3           9 0 SD_CMD              (261-33-13)
CONN_MICROSD_CARD                J6                               523   1      6   6   1 5          11 0 SD_CLK              (261-30-13)
CONN_MICROSD_CARD                J6                               523   1      7   7   1 10         16 0 SD_DETECT           (261-28-13)
CONN_MICROSD_CARD                J6                               523   1      8   8   1 9          15 0 GND                 (3-11-13)
CONN_MICROSD_CARD                J6                               523   1      9   9   1 GND6        6 0 GND                 (3-11-13)
CONN_MICROSD_CARD                J6                               523   2      1   1   2 GND5        5 0 GND                 (3-11-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CONN_MICROSD_CARD                J6                               523   2      1   1   3 GND4        4 0 GND                 (3-11-13)
CONN_MICROSD_CARD                J6                               523   2      1   1   4 GND3        3 0 GND                 (3-11-13)
CONN_MICROSD_CARD                J6                               523   2      1   1   5 GND2        2 0 GND                 (3-11-13)
CONN_MICROSD_CARD                J6                               523   2      1   1   6 GND1        1 0 GND                 (3-11-13)
CONN_MICROSD_CARD                J6                               523   2      1   1   7 6          12 0 GND                 (3-11-13)
CONN_MICROSD_CARD                J6                               523   2      1   1   8 4          10 0 3P3V                (76-222-13)
CON_BSH_030_VERT                 J1                               473   1      1   1   1 1           1 0 1P8V                (3-14-13)
CON_BSH_030_VERT                 J1                               473   1      2   2   1 3           3 0 RXI_NO_DATA0_N      (76-135-13)
CON_BSH_030_VERT                 J1                               473   1      3   3   1 5           5 0 RXI_NO_DATA0_P      (76-174-13)
CON_BSH_030_VERT                 J1                               473   1      4   4   1 7           7 0 RXI_NO_DATA2_N      (76-125-13)
CON_BSH_030_VERT                 J1                               473   1      5   5   1 9           9 0 RXI_NO_DATA2_P      (76-163-13)
CON_BSH_030_VERT                 J1                               473   1      6   6   1 11         11 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1      7   7   1 13         13 0 RXI_NO_DATA4_N      (76-107-13)
CON_BSH_030_VERT                 J1                               473   1      8   8   1 15         15 0 RXI_NO_DATA4_P      (76-191-13)
CON_BSH_030_VERT                 J1                               473   1      9   9   1 17         17 0 RXI_NO_DATA6_N      (76-118-13)
CON_BSH_030_VERT                 J1                               473   1     10  10   1 19         19 0 RXI_NO_DATA6_P      (76-113-13)
CON_BSH_030_VERT                 J1                               473   1     11  11   1 21         21 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1     12  12   1 23         23 0 RXI_NO_LCLK_N       (76-150-13)
CON_BSH_030_VERT                 J1                               473   1     13  13   1 25         25 0 RXI_NO_LCLK_P       (76-141-13)
CON_BSH_030_VERT                 J1                               473   1     14  14   1 27         27 0 RXO_NO_RD_WAIT_N    (76-179-13)
CON_BSH_030_VERT                 J1                               473   1     15  15   1 29         29 0 RXO_NO_RD_WAIT_P    (76-185-13)
CON_BSH_030_VERT                 J1                               473   1     16  16   1 31         31 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1     17  17   1 33         33 0 TXO_NO_FRAME_N      (76-161-13)
CON_BSH_030_VERT                 J1                               473   1     18  18   1 35         35 0 TXO_NO_FRAME_P      (76-165-13)
CON_BSH_030_VERT                 J1                               473   1     19  19   1 37         37 0 TXO_NO_LCLK_N       (76-131-13)
CON_BSH_030_VERT                 J1                               473   1     20  20   1 39         39 0 TXO_NO_LCLK_P       (76-194-13)
CON_BSH_030_VERT                 J1                               473   1     21  21   1 41         41 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1     22  22   1 43         43 0 TXO_NO_DATA0_N      (76-190-13)
CON_BSH_030_VERT                 J1                               473   1     23  23   1 45         45 0 TXO_NO_DATA0_P      (76-200-13)
CON_BSH_030_VERT                 J1                               473   1     24  24   1 47         47 0 TXO_NO_DATA2_N      (76-172-13)
CON_BSH_030_VERT                 J1                               473   1     25  25   1 49         49 0 TXO_NO_DATA2_P      (76-177-13)
CON_BSH_030_VERT                 J1                               473   1     26  26   1 51         51 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1     27  27   1 53         53 0 TXO_NO_DATA4_N      (76-188-13)
CON_BSH_030_VERT                 J1                               473   1     28  28   1 55         55 0 TXO_NO_DATA4_P      (76-151-13)
CON_BSH_030_VERT                 J1                               473   1     29  29   1 57         57 0 TXO_NO_DATA6_N      (76-168-13)
CON_BSH_030_VERT                 J1                               473   1     30  30   1 59         59 0 TXO_NO_DATA6_P      (76-117-13)
CON_BSH_030_VERT                 J1                               473   1     31  31   1 2           2 0 1P8V                (3-14-13)
CON_BSH_030_VERT                 J1                               473   1     32  32   1 4           4 0 RXI_NO_DATA1_N      (76-129-13)
CON_BSH_030_VERT                 J1                               473   1     33  33   1 6           6 0 RXI_NO_DATA1_P      (76-175-13)
CON_BSH_030_VERT                 J1                               473   1     34  34   1 8           8 0 RXI_NO_DATA3_N      (76-110-13)
CON_BSH_030_VERT                 J1                               473   1     35  35   1 10         10 0 RXI_NO_DATA3_P      (76-201-13)
CON_BSH_030_VERT                 J1                               473   1     36  36   1 12         12 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1     37  37   1 14         14 0 RXI_NO_DATA5_N      (76-136-13)
CON_BSH_030_VERT                 J1                               473   1     38  38   1 16         16 0 RXI_NO_DATA5_P      (76-130-13)
CON_BSH_030_VERT                 J1                               473   1     39  39   1 18         18 0 RXI_NO_DATA7_N      (76-142-13)
CON_BSH_030_VERT                 J1                               473   1     40  40   1 20         20 0 RXI_NO_DATA7_P      (76-156-13)
CON_BSH_030_VERT                 J1                               473   1     41  41   1 22         22 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1     42  42   1 24         24 0 RXI_NO_FRAME_N      (76-158-13)
CON_BSH_030_VERT                 J1                               473   1     43  43   1 26         26 0 RXI_NO_FRAME_P      (76-176-13)
CON_BSH_030_VERT                 J1                               473   1     44  44   1 28         28 0 RXO_NO_WR_WAIT_N    (76-196-13)
CON_BSH_030_VERT                 J1                               473   1     45  45   1 30         30 0 RXO_NO_WR_WAIT_P    (76-162-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CON_BSH_030_VERT                 J1                               473   1     46  46   1 32         32 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1     47  47   1 34         34 0 TXI_NO_WR_WAIT_N    (76-139-13)
CON_BSH_030_VERT                 J1                               473   1     48  48   1 36         36 0 TXI_NO_WR_WAIT_P    (76-147-13)
CON_BSH_030_VERT                 J1                               473   1     49  49   1 38         38 0 TXI_NO_RD_WAIT_N    (76-124-13)
CON_BSH_030_VERT                 J1                               473   1     50  50   1 40         40 0 TXI_NO_RD_WAIT_P    (76-183-13)
CON_BSH_030_VERT                 J1                               473   1     51  51   1 42         42 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1     52  52   1 44         44 0 TXO_NO_DATA1_N      (76-104-13)
CON_BSH_030_VERT                 J1                               473   1     53  53   1 46         46 0 TXO_NO_DATA1_P      (76-108-13)
CON_BSH_030_VERT                 J1                               473   1     54  54   1 48         48 0 TXO_NO_DATA3_N      (76-182-13)
CON_BSH_030_VERT                 J1                               473   1     55  55   1 50         50 0 TXO_NO_DATA3_P      (76-186-13)
CON_BSH_030_VERT                 J1                               473   1     56  56   1 52         52 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J1                               473   1     57  57   1 54         54 0 TXO_NO_DATA5_N      (76-160-13)
CON_BSH_030_VERT                 J1                               473   1     58  58   1 56         56 0 TXO_NO_DATA5_P      (76-152-13)
CON_BSH_030_VERT                 J1                               473   1     59  59   1 58         58 0 TXO_NO_DATA7_N      (76-126-13)
CON_BSH_030_VERT                 J1                               473   1     60  60   1 60         60 0 TXO_NO_DATA7_P      (76-132-13)
CON_BSH_030_VERT                 J1                                 0   2      1   1   2 61         61 1                     (0-0-0)
CON_BSH_030_VERT                 J1                                 0   2      1   1   3 62         62 1                     (0-0-0)
CON_BSH_030_VERT                 J2                               472   1      1   1   1 1           1 0 1P8V                (3-14-13)
CON_BSH_030_VERT                 J2                               472   1      2   2   1 3           3 0 RXI_SO_DATA0_N      (76-137-13)
CON_BSH_030_VERT                 J2                               472   1      3   3   1 5           5 0 RXI_SO_DATA0_P      (76-148-13)
CON_BSH_030_VERT                 J2                               472   1      4   4   1 7           7 0 RXI_SO_DATA2_N      (76-128-13)
CON_BSH_030_VERT                 J2                               472   1      5   5   1 9           9 0 RXI_SO_DATA2_P      (76-178-13)
CON_BSH_030_VERT                 J2                               472   1      6   6   1 11         11 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1      7   7   1 13         13 0 RXI_SO_DATA4_N      (76-114-13)
CON_BSH_030_VERT                 J2                               472   1      8   8   1 15         15 0 RXI_SO_DATA4_P      (76-202-13)
CON_BSH_030_VERT                 J2                               472   1      9   9   1 17         17 0 RXI_SO_DATA6_N      (76-115-13)
CON_BSH_030_VERT                 J2                               472   1     10  10   1 19         19 0 RXI_SO_DATA6_P      (76-133-13)
CON_BSH_030_VERT                 J2                               472   1     11  11   1 21         21 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1     12  12   1 23         23 0 RXI_SO_LCLK_N       (76-144-13)
CON_BSH_030_VERT                 J2                               472   1     13  13   1 25         25 0 RXI_SO_LCLK_P       (76-155-13)
CON_BSH_030_VERT                 J2                               472   1     14  14   1 27         27 0 RXO_SO_RD_WAIT_N    (76-111-13)
CON_BSH_030_VERT                 J2                               472   1     15  15   1 29         29 0 RXO_SO_RD_WAIT_P    (76-146-13)
CON_BSH_030_VERT                 J2                               472   1     16  16   1 31         31 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1     17  17   1 33         33 0 TXO_SO_FRAME_N      (76-167-13)
CON_BSH_030_VERT                 J2                               472   1     18  18   1 35         35 0 TXO_SO_FRAME_P      (76-157-13)
CON_BSH_030_VERT                 J2                               472   1     19  19   1 37         37 0 TXO_SO_LCLK_N       (76-166-13)
CON_BSH_030_VERT                 J2                               472   1     20  20   1 39         39 0 TXO_SO_LCLK_P       (76-112-13)
CON_BSH_030_VERT                 J2                               472   1     21  21   1 41         41 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1     22  22   1 43         43 0 TXO_SO_DATA0_N      (76-181-13)
CON_BSH_030_VERT                 J2                               472   1     23  23   1 45         45 0 TXO_SO_DATA0_P      (76-189-13)
CON_BSH_030_VERT                 J2                               472   1     24  24   1 47         47 0 TXO_SO_DATA2_N      (76-170-13)
CON_BSH_030_VERT                 J2                               472   1     25  25   1 49         49 0 TXO_SO_DATA2_P      (76-109-13)
CON_BSH_030_VERT                 J2                               472   1     26  26   1 51         51 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1     27  27   1 53         53 0 TXO_SO_DATA4_N      (76-198-13)
CON_BSH_030_VERT                 J2                               472   1     28  28   1 55         55 0 TXO_SO_DATA4_P      (76-197-13)
CON_BSH_030_VERT                 J2                               472   1     29  29   1 57         57 0 TXO_SO_DATA6_N      (76-143-13)
CON_BSH_030_VERT                 J2                               472   1     30  30   1 59         59 0 TXO_SO_DATA6_P      (76-140-13)
CON_BSH_030_VERT                 J2                               472   1     31  31   1 2           2 0 1P8V                (3-14-13)
CON_BSH_030_VERT                 J2                               472   1     32  32   1 4           4 0 RXI_SO_DATA1_N      (76-145-13)
CON_BSH_030_VERT                 J2                               472   1     33  33   1 6           6 0 RXI_SO_DATA1_P      (76-187-13)
CON_BSH_030_VERT                 J2                               472   1     34  34   1 8           8 0 RXI_SO_DATA3_N      (76-138-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CON_BSH_030_VERT                 J2                               472   1     35  35   1 10         10 0 RXI_SO_DATA3_P      (76-169-13)
CON_BSH_030_VERT                 J2                               472   1     36  36   1 12         12 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1     37  37   1 14         14 0 RXI_SO_DATA5_N      (76-122-13)
CON_BSH_030_VERT                 J2                               472   1     38  38   1 16         16 0 RXI_SO_DATA5_P      (76-193-13)
CON_BSH_030_VERT                 J2                               472   1     39  39   1 18         18 0 RXI_SO_DATA7_N      (76-123-13)
CON_BSH_030_VERT                 J2                               472   1     40  40   1 20         20 0 RXI_SO_DATA7_P      (76-119-13)
CON_BSH_030_VERT                 J2                               472   1     41  41   1 22         22 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1     42  42   1 24         24 0 RXI_SO_FRAME_N      (76-154-13)
CON_BSH_030_VERT                 J2                               472   1     43  43   1 26         26 0 RXI_SO_FRAME_P      (76-121-13)
CON_BSH_030_VERT                 J2                               472   1     44  44   1 28         28 0 RXO_SO_WR_WAIT_N    (76-120-13)
CON_BSH_030_VERT                 J2                               472   1     45  45   1 30         30 0 RXO_SO_WR_WAIT_P    (76-134-13)
CON_BSH_030_VERT                 J2                               472   1     46  46   1 32         32 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1     47  47   1 34         34 0 TXI_SO_WR_WAIT_N    (76-149-13)
CON_BSH_030_VERT                 J2                               472   1     48  48   1 36         36 0 TXI_SO_WR_WAIT_P    (76-153-13)
CON_BSH_030_VERT                 J2                               472   1     49  49   1 38         38 0 TXI_SO_RD_WAIT_N    (76-159-13)
CON_BSH_030_VERT                 J2                               472   1     50  50   1 40         40 0 TXI_SO_RD_WAIT_P    (76-164-13)
CON_BSH_030_VERT                 J2                               472   1     51  51   1 42         42 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1     52  52   1 44         44 0 TXO_SO_DATA1_N      (76-173-13)
CON_BSH_030_VERT                 J2                               472   1     53  53   1 46         46 0 TXO_SO_DATA1_P      (76-171-13)
CON_BSH_030_VERT                 J2                               472   1     54  54   1 48         48 0 TXO_SO_DATA3_N      (76-203-13)
CON_BSH_030_VERT                 J2                               472   1     55  55   1 50         50 0 TXO_SO_DATA3_P      (76-199-13)
CON_BSH_030_VERT                 J2                               472   1     56  56   1 52         52 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J2                               472   1     57  57   1 54         54 0 TXO_SO_DATA5_N      (76-195-13)
CON_BSH_030_VERT                 J2                               472   1     58  58   1 56         56 0 TXO_SO_DATA5_P      (76-192-13)
CON_BSH_030_VERT                 J2                               472   1     59  59   1 58         58 0 TXO_SO_DATA7_N      (76-127-13)
CON_BSH_030_VERT                 J2                               472   1     60  60   1 60         60 0 TXO_SO_DATA7_P      (76-116-13)
CON_BSH_030_VERT                 J2                                 0   2      1   1   2 61         61 1                     (0-0-0)
CON_BSH_030_VERT                 J2                                 0   2      1   1   3 62         62 1                     (0-0-0)
CON_BSH_030_VERT                 J3                               471   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CON_BSH_030_VERT                 J3                               471   1      2   2   1 3           3 0 GPIO0_N             (346-28-13)
CON_BSH_030_VERT                 J3                               471   1      3   3   1 5           5 0 GPIO0_P             (346-24-13)
CON_BSH_030_VERT                 J3                               471   1      4   4   1 7           7 0 GPIO2_N             (346-23-13)
CON_BSH_030_VERT                 J3                               471   1      5   5   1 9           9 0 GPIO2_P             (346-21-13)
CON_BSH_030_VERT                 J3                               471   1      6   6   1 11         11 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1      7   7   1 13         13 0 GPIO4_N             (346-20-13)
CON_BSH_030_VERT                 J3                               471   1      8   8   1 15         15 0 GPIO4_P             (346-47-13)
CON_BSH_030_VERT                 J3                               471   1      9   9   1 17         17 0 GPIO6_N             (346-45-13)
CON_BSH_030_VERT                 J3                               471   1     10  10   1 19         19 0 GPIO6_P             (346-44-13)
CON_BSH_030_VERT                 J3                               471   1     11  11   1 21         21 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1     12  12   1 23         23 0 GPIO8_N             (346-42-13)
CON_BSH_030_VERT                 J3                               471   1     13  13   1 25         25 0 GPIO8_P             (7-126-13)
CON_BSH_030_VERT                 J3                               471   1     14  14   1 27         27 0 GPIO10_N            (346-39-13)
CON_BSH_030_VERT                 J3                               471   1     15  15   1 29         29 0 GPIO10_P            (346-37-13)
CON_BSH_030_VERT                 J3                               471   1     16  16   1 31         31 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1     17  17   1 33         33 0 GPIO12_N            (50-16-13)
CON_BSH_030_VERT                 J3                               471   1     18  18   1 35         35 0 GPIO12_P            (50-17-13)
CON_BSH_030_VERT                 J3                               471   1     19  19   1 37         37 0 GPIO14_N            (50-23-13)
CON_BSH_030_VERT                 J3                               471   1     20  20   1 39         39 0 GPIO14_P            (50-6-13)
CON_BSH_030_VERT                 J3                               471   1     21  21   1 41         41 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1     22  22   1 43         43 0 GPIO16_N            (50-1-13)
CON_BSH_030_VERT                 J3                               471   1     23  23   1 45         45 0 GPIO16_P            (50-15-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CON_BSH_030_VERT                 J3                               471   1     24  24   1 47         47 0 GPIO18_N            (346-3-13)
CON_BSH_030_VERT                 J3                               471   1     25  25   1 49         49 0 GPIO18_P            (346-2-13)
CON_BSH_030_VERT                 J3                               471   1     26  26   1 51         51 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1     27  27   1 53         53 0 GPIO20_N            (50-25-13)
CON_BSH_030_VERT                 J3                               471   1     28  28   1 55         55 0 GPIO20_P            (50-3-13)
CON_BSH_030_VERT                 J3                               471   1     29  29   1 57         57 0 GPIO22_N            (50-21-13)
CON_BSH_030_VERT                 J3                               471   1     30  30   1 59         59 0 GPIO22_P            (50-22-13)
CON_BSH_030_VERT                 J3                               471   1     31  31   1 2           2 0 VDD_GPIO            (7-123-13)
CON_BSH_030_VERT                 J3                               471   1     32  32   1 4           4 0 GPIO1_N             (346-38-13)
CON_BSH_030_VERT                 J3                               471   1     33  33   1 6           6 0 GPIO1_P             (346-35-13)
CON_BSH_030_VERT                 J3                               471   1     34  34   1 8           8 0 GPIO3_N             (346-34-13)
CON_BSH_030_VERT                 J3                               471   1     35  35   1 10         10 0 GPIO3_P             (346-33-13)
CON_BSH_030_VERT                 J3                               471   1     36  36   1 12         12 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1     37  37   1 14         14 0 GPIO5_N             (346-30-13)
CON_BSH_030_VERT                 J3                               471   1     38  38   1 16         16 0 GPIO5_P             (346-27-13)
CON_BSH_030_VERT                 J3                               471   1     39  39   1 18         18 0 GPIO7_N             (346-26-13)
CON_BSH_030_VERT                 J3                               471   1     40  40   1 20         20 0 GPIO7_P             (346-53-13)
CON_BSH_030_VERT                 J3                               471   1     41  41   1 22         22 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1     42  42   1 24         24 0 GPIO9_N             (346-52-13)
CON_BSH_030_VERT                 J3                               471   1     43  43   1 26         26 0 GPIO9_P             (346-51-13)
CON_BSH_030_VERT                 J3                               471   1     44  44   1 28         28 0 GPIO11_N            (346-50-13)
CON_BSH_030_VERT                 J3                               471   1     45  45   1 30         30 0 GPIO11_P            (346-49-13)
CON_BSH_030_VERT                 J3                               471   1     46  46   1 32         32 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1     47  47   1 34         34 0 GPIO13_N            (50-12-13)
CON_BSH_030_VERT                 J3                               471   1     48  48   1 36         36 0 GPIO13_P            (50-13-13)
CON_BSH_030_VERT                 J3                               471   1     49  49   1 38         38 0 GPIO15_N            (50-11-13)
CON_BSH_030_VERT                 J3                               471   1     50  50   1 40         40 0 GPIO15_P            (50-14-13)
CON_BSH_030_VERT                 J3                               471   1     51  51   1 42         42 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1     52  52   1 44         44 0 GPIO17_N            (50-8-13)
CON_BSH_030_VERT                 J3                               471   1     53  53   1 46         46 0 GPIO17_P            (50-10-13)
CON_BSH_030_VERT                 J3                               471   1     54  54   1 48         48 0 GPIO19_N            (50-4-13)
CON_BSH_030_VERT                 J3                               471   1     55  55   1 50         50 0 GPIO19_P            (50-5-13)
CON_BSH_030_VERT                 J3                               471   1     56  56   1 52         52 0 GND                 (3-11-13)
CON_BSH_030_VERT                 J3                               471   1     57  57   1 54         54 0 GPIO21_N            (50-20-13)
